Results of parsing:
ID	nyskol	SK1X	%	SK2X	%	SK3X	%	SK4X	%	SK5X	%	SK6X	%	SK7X	%	SK10X	%	
184	192	1	5.88	0	0	0	0	5	29.41	0	0	0	0	0	0	0	0	
185	192	0	0	3	17.65	0	0	0	0	0	0	3	17.65	0	0	0	0	
186	192	0	0	9	52.94	0	0	1	5.88	0	0	10	58.82	1	5.88	0	0	
187	192	8	47.06	0	0	0	0	3	17.65	0	0	0	0	0	0	0	0	
188	192	3	17.65	0	0	0	0	8	47.06	0	0	0	0	0	0	0	0	
189	192	0	0	3	17.65	0	0	0	0	0	0	4	23.53	4	23.53	0	0	
190	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
193	193	6	33.33	0	0	0	0	0	0	2	11.11	0	0	0	0	1	5.56	
194	193	0	0	0	0	2	11.11	1	5.56	0	0	0	0	0	0	1	5.56	
195	193	1	5.56	4	22.22	0	0	2	11.11	0	0	0	0	1	5.56	0	0	
196	193	0	0	0	0	0	0	0	0	1	5.56	1	5.56	0	0	1	5.56	
197	193	0	0	0	0	2	11.11	0	0	0	0	0	0	2	11.11	5	27.78	
198	193	0	0	1	5.56	1	5.56	0	0	0	0	0	0	4	22.22	0	0	
199	193	4	22.22	0	0	0	0	1	5.56	0	0	1	5.56	0	0	0	0	
200	193	0	0	2	11.11	0	0	0	0	0	0	1	5.56	2	11.11	1	5.56	
201	193	2	11.11	2	11.11	0	0	1	5.56	0	0	2	11.11	2	11.11	0	0	
202	193	1	5.56	0	0	1	5.56	0	0	0	0	1	5.56	0	0	0	0	
203	193	0	0	0	0	0	0	0	0	0	0	1	5.56	2	11.11	3	16.67	
204	193	1	5.56	0	0	9	50.00	0	0	3	16.67	0	0	0	0	3	16.67	
205	193	0	0	7	38.89	0	0	0	0	0	0	1	5.56	3	16.67	0	0	
206	193	3	16.67	0	0	1	5.56	5	27.78	0	0	1	5.56	0	0	0	0	
207	193	0	0	0	0	0	0	4	22.22	0	0	1	5.56	0	0	0	0	
208	193	6	33.33	0	0	0	0	2	11.11	0	0	7	38.89	0	0	0	0	
209	193	0	0	2	11.11	0	0	0	0	0	0	1	5.56	1	5.56	2	11.11	
210	193	0	0	3	16.67	0	0	0	0	0	0	2	11.11	0	0	3	16.67	
211	193	1	5.56	0	0	2	11.11	7	38.89	5	27.78	0	0	0	0	1	5.56	
212	271	1	4.55	0	0	1	4.55	0	0	0	0	1	4.55	1	4.55	0	0	
213	271	4	18.18	0	0	0	0	1	4.55	0	0	0	0	2	9.09	0	0	
214	271	1	4.55	1	4.55	0	0	0	0	0	0	2	9.09	1	4.55	0	0	
215	271	1	4.55	0	0	7	31.82	0	0	1	4.55	0	0	0	0	7	31.82	
216	271	5	22.73	3	13.64	0	0	14	63.64	0	0	0	0	0	0	0	0	
217	271	3	13.64	0	0	3	13.64	0	0	1	4.55	0	0	0	0	5	22.73	
218	271	0	0	0	0	0	0	0	0	0	0	2	9.09	1	4.55	0	0	
219	271	1	4.55	0	0	0	0	0	0	1	4.55	0	0	1	4.55	1	4.55	
220	271	1	4.55	5	22.73	2	9.09	0	0	4	18.18	3	13.64	0	0	0	0	
221	271	2	9.09	1	4.55	0	0	0	0	0	0	0	0	3	13.64	0	0	
222	271	1	4.55	0	0	0	0	2	9.09	0	0	0	0	2	9.09	0	0	
223	271	0	0	0	0	4	18.18	0	0	1	4.55	0	0	0	0	1	4.55	
224	271	0	0	9	40.91	0	0	0	0	0	0	10	45.45	2	9.09	0	0	
225	271	0	0	0	0	1	4.55	2	9.09	0	0	1	4.55	0	0	0	0	
226	271	7	31.82	0	0	0	0	11	50.00	0	0	0	0	0	0	0	0	
227	271	4	18.18	0	0	1	4.55	1	4.55	0	0	0	0	0	0	4	18.18	
228	271	0	0	0	0	0	0	3	13.64	2	9.09	0	0	0	0	0	0	
229	271	0	0	1	4.55	13	59.09	0	0	15	68.18	0	0	1	4.55	4	18.18	
230	271	0	0	0	0	3	13.64	0	0	0	0	0	0	0	0	6	27.27	
231	271	3	13.64	0	0	0	0	0	0	2	9.09	0	0	0	0	1	4.55	
232	271	1	4.55	7	31.82	0	0	2	9.09	0	0	6	27.27	5	22.73	0	0	
233	271	1	4.55	5	22.73	0	0	0	0	0	0	2	9.09	9	40.91	0	0	
234	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
235	271	4	18.18	0	0	3	13.64	4	18.18	2	9.09	2	9.09	2	9.09	5	22.73	
236	272	4	18.18	1	4.55	0	0	1	4.55	0	0	0	0	0	0	0	0	
237	272	2	9.09	0	0	0	0	3	13.64	0	0	2	9.09	1	4.55	0	0	
238	272	1	4.55	0	0	1	4.55	1	4.55	0	0	0	0	0	0	0	0	
239	272	3	13.64	0	0	1	4.55	0	0	0	0	0	0	0	0	5	22.73	
240	272	1	4.55	0	0	1	4.55	2	9.09	0	0	0	0	0	0	0	0	
241	272	1	4.55	1	4.55	1	4.55	1	4.55	1	4.55	1	4.55	1	4.55	1	4.55	
242	272	1	4.55	1	4.55	3	13.64	0	0	6	27.27	1	4.55	0	0	0	0	
243	272	3	13.64	1	4.55	4	18.18	0	0	0	0	0	0	0	0	3	13.64	
244	272	2	9.09	1	4.55	0	0	4	18.18	0	0	1	4.55	2	9.09	0	0	
245	272	2	9.09	0	0	1	4.55	0	0	0	0	0	0	0	0	0	0	
246	272	1	4.55	0	0	0	0	2	9.09	1	4.55	1	4.55	0	0	0	0	
247	272	0	0	1	4.55	1	4.55	0	0	1	4.55	0	0	0	0	2	9.09	
248	272	0	0	2	9.09	0	0	0	0	0	0	5	22.73	1	4.55	0	0	
249	272	0	0	3	13.64	0	0	2	9.09	0	0	3	13.64	0	0	5	22.73	
250	272	5	22.73	0	0	1	4.55	1	4.55	1	4.55	2	9.09	0	0	1	4.55	
251	272	0	0	1	4.55	0	0	0	0	3	13.64	0	0	1	4.55	1	4.55	
252	272	0	0	2	9.09	1	4.55	2	9.09	1	4.55	0	0	1	4.55	0	0	
254	272	0	0	2	9.09	0	0	1	4.55	0	0	1	4.55	2	9.09	0	0	
255	272	0	0	5	22.73	0	0	0	0	1	4.55	5	22.73	11	50.00	0	0	
256	272	1	4.55	1	4.55	1	4.55	2	9.09	0	0	1	4.55	4	18.18	1	4.55	
257	272	7	31.82	0	0	6	27.27	3	13.64	0	0	0	0	0	0	4	18.18	
383	272	0	0	0	0	2	9.09	0	0	0	0	0	0	0	0	0	0	
385	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
258	283	0	0	1	2.04	0	0	0	0	0	0	0	0	9	18.37	0	0	
259	283	2	4.08	0	0	0	0	1	2.04	0	0	1	2.04	0	0	0	0	
260	283	0	0	0	0	0	0	0	0	1	2.04	2	4.08	2	4.08	0	0	
262	283	1	2.04	10	20.41	0	0	0	0	0	0	7	14.29	6	12.24	0	0	
263	283	3	6.12	1	2.04	1	2.04	1	2.04	0	0	4	8.16	3	6.12	2	4.08	
264	283	3	6.12	0	0	0	0	4	8.16	0	0	1	2.04	0	0	0	0	
265	283	2	4.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
266	283	0	0	1	2.04	1	2.04	1	2.04	0	0	0	0	0	0	3	6.12	
267	283	0	0	0	0	0	0	1	2.04	0	0	0	0	0	0	0	0	
268	283	2	4.08	1	2.04	0	0	0	0	0	0	0	0	0	0	0	0	
269	283	3	6.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
270	283	1	2.04	0	0	1	2.04	0	0	0	0	0	0	3	6.12	2	4.08	
271	283	0	0	1	2.04	8	16.33	0	0	9	18.37	3	6.12	0	0	11	22.45	
272	283	0	0	1	2.04	0	0	1	2.04	1	2.04	1	2.04	0	0	0	0	
273	283	0	0	0	0	0	0	0	0	3	6.12	1	2.04	0	0	3	6.12	
274	283	0	0	2	4.08	1	2.04	0	0	0	0	1	2.04	1	2.04	0	0	
275	283	1	2.04	0	0	0	0	2	4.08	1	2.04	2	4.08	1	2.04	0	0	
276	283	1	2.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
277	283	3	6.12	0	0	0	0	3	6.12	0	0	0	0	0	0	1	2.04	
279	283	4	8.16	0	0	2	4.08	2	4.08	2	4.08	1	2.04	2	4.08	0	0	
280	283	1	2.04	0	0	3	6.12	0	0	0	0	0	0	0	0	1	2.04	
281	283	0	0	0	0	0	0	0	0	0	0	0	0	1	2.04	0	0	
282	283	0	0	0	0	1	2.04	0	0	2	4.08	0	0	0	0	0	0	
283	283	2	4.08	0	0	0	0	0	0	1	2.04	0	0	0	0	0	0	
284	283	0	0	0	0	2	4.08	0	0	0	0	0	0	0	0	1	2.04	
285	283	1	2.04	0	0	0	0	1	2.04	0	0	0	0	3	6.12	0	0	
286	283	1	2.04	0	0	0	0	4	8.16	0	0	0	0	0	0	0	0	
287	283	2	4.08	0	0	5	10.20	4	8.16	3	6.12	0	0	0	0	7	14.29	
288	283	0	0	1	2.04	0	0	0	0	1	2.04	1	2.04	1	2.04	0	0	
289	283	1	2.04	1	2.04	0	0	1	2.04	0	0	1	2.04	0	0	0	0	
290	283	1	2.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
291	283	1	2.04	0	0	0	0	1	2.04	0	0	2	4.08	0	0	0	0	
292	283	0	0	7	14.29	1	2.04	1	2.04	1	2.04	2	4.08	2	4.08	0	0	
293	283	3	6.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
294	283	2	4.08	0	0	0	0	0	0	1	2.04	1	2.04	1	2.04	0	0	
295	283	3	6.12	0	0	0	0	2	4.08	0	0	0	0	0	0	0	0	
296	283	3	6.12	0	0	0	0	10	20.41	0	0	0	0	0	0	0	0	
297	283	1	2.04	0	0	3	6.12	0	0	2	4.08	0	0	0	0	0	0	
298	283	3	6.12	0	0	0	0	3	6.12	0	0	0	0	0	0	0	0	
299	283	1	2.04	1	2.04	0	0	1	2.04	1	2.04	0	0	1	2.04	0	0	
300	283	1	2.04	14	28.57	0	0	1	2.04	0	0	5	10.20	5	10.20	0	0	
301	283	1	2.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
302	283	1	2.04	1	2.04	0	0	0	0	0	0	0	0	0	0	3	6.12	
303	283	1	2.04	0	0	1	2.04	0	0	3	6.12	0	0	0	0	2	4.08	
304	283	1	2.04	0	0	0	0	0	0	1	2.04	0	0	1	2.04	1	2.04	
305	283	2	4.08	2	4.08	0	0	0	0	0	0	2	4.08	3	6.12	0	0	
306	283	3	6.12	0	0	6	12.24	0	0	2	4.08	0	0	0	0	1	2.04	
307	283	1	2.04	0	0	0	0	0	0	3	6.12	1	2.04	0	0	2	4.08	
391	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
398	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
308	291	0	0	1	4.76	0	0	0	0	0	0	0	0	1	4.76	0	0	
309	291	0	0	2	9.52	1	4.76	0	0	0	0	0	0	0	0	0	0	
310	291	1	4.76	2	9.52	1	4.76	0	0	0	0	2	9.52	0	0	0	0	
311	291	1	4.76	0	0	2	9.52	0	0	2	9.52	0	0	0	0	4	19.05	
312	291	0	0	6	28.57	0	0	0	0	1	4.76	3	14.29	0	0	0	0	
313	291	0	0	2	9.52	0	0	2	9.52	1	4.76	1	4.76	2	9.52	1	4.76	
314	291	2	9.52	0	0	1	4.76	1	4.76	0	0	1	4.76	0	0	0	0	
316	291	3	14.29	1	4.76	2	9.52	3	14.29	1	4.76	0	0	7	33.33	0	0	
317	291	5	23.81	3	14.29	0	0	3	14.29	0	0	5	23.81	3	14.29	0	0	
318	291	1	4.76	2	9.52	1	4.76	0	0	0	0	3	14.29	0	0	1	4.76	
319	291	0	0	5	23.81	2	9.52	0	0	0	0	0	0	3	14.29	2	9.52	
320	291	5	23.81	0	0	5	23.81	0	0	0	0	0	0	0	0	5	23.81	
321	291	0	0	0	0	2	9.52	0	0	0	0	0	0	0	0	0	0	
